participant_id,id,degree,type,origin_id,network_id,register_trial,max_num_diff_pitches_allowed,reference_pitch,target_pitch1,target_pitch2,target_pitch3,num_target_pitches,target_interval1,target_interval2,sung_pitch1,sung_pitch2,sung_pitch3,num_sung_pitches,sung_interval1,sung_interval2,in2ref_1,in2ref_2,in2ref_3,save_plot,stats,max_abs_pitch_error,max_abs_interval_error,direction_accuracy,root_mean_squared_pitch,root_mean_squared_interval,full,trial_maker_id,net_n_trials,net_n_failed_trials,net_num_notes,register_source,sung_median_pitch,register,predicted_register,singing_performance,GMSI_SA,GMSI_MT,gender,age,mt,confirm_sung_intervals,pitch_RMSE,interval_RMSE,int_class
9b1,145,1,custom_trial,50,29b1,high,0,58.5483872272166,60.6796195693959,63.0858956555573,66.1743567709062,3,2.40627608616138,3.08846111534889,59.407429966753,53.8410455441367,68.2128718841509,3,-5.56638442261627,14.3718263400142,0.859042739536349,-4.70734168307992,9.66448465693426,TRUE,"3,3,-1.27218960264289,-9.24485011142054,2.03851511324474,-2.82617486693956,9.24485011142054,5.51486669027857,-7.97266050877765,11.2833652246653,1.65535235794382,11.2833652246653,9.76927956354532,50",9.24485011142054,11.2833652246653,50,5.51486669027857,9.76927956354532,TRUE,singing_block1,14,4,NA,NA,58.9451022315975,high,high,8,3,3.571429,female,59,8,"-5.56638442261627,14.3718263400142",5.51486669027857,9.76927956354532,first3
8b1,128,1,custom_trial,24,16b1,low,0,60.9991554579286,61.7467159593595,69.1992374602393,64.7689931388694,3,7.45252150087981,-4.43024432136987,58.1617749451508,65.0773805000553,62.5262743445424,3,6.91560555490457,-2.55110615551298,-2.83738051277787,4.0782250421267,1.52711888661372,TRUE,"3,3,-3.58494101420872,-4.12185696018396,-2.24271879432707,-3.31650558957325,4.12185696018396,3.40936428414451,-0.536915945975245,1.87913816585689,0.671111109940824,1.87913816585689,1.38192600732139,100",4.12185696018396,1.87913816585689,100,3.40936428414451,1.38192600732139,TRUE,singing_block1,10,0,NA,NA,49.3451573878098,low,low,10,5,2.142857,male,69,0,"6.91560555490457,-2.55110615551298",3.40936428414451,1.38192600732139,first3
8b1,132,1,custom_trial,228,118b1,low,0,59.3805118018056,57.6732091447642,52.9363885853721,66.1220622564585,3,-4.73682055939209,13.1856736710864,60.2867487596985,56.8166174737189,64.7110862561351,3,-3.47013128597965,7.89446878241623,0.906236957892887,-2.56389432808676,5.33057445432947,TRUE,"3,3,2.61353961493434,3.88022888834678,-1.41097600032343,1.69426416765256,3.88022888834678,2.82120652784589,1.26668927341244,-5.29120488867021,-2.01225780762888,5.29120488867021,3.84716459806866,100",3.88022888834678,5.29120488867021,100,2.82120652784589,3.84716459806866,TRUE,singing_block1,11,1,NA,NA,49.3451573878098,low,low,10,5,2.142857,male,69,0,"-3.47013128597965,7.89446878241623",2.82120652784589,3.84716459806866,first3
96b1,1408,3,custom_trial,650,10b1,low,0,59.1524792505301,63.6699486482991,59.8043955417206,67.3316278604721,3,-3.86555310657849,7.52723231875157,57.063984266621,50.062639675891504,62.8544957960776,3,-7.00134459072959,12.7918561201861,-2.08849498390906,-9.0898395746386509,3.70201654554744,TRUE,"3,3,-6.60596438167801,-9.74175586582911,-4.47713206439459,-6.94161743730057,9.74175586582911,7.27060942616332,-3.1357914841511,5.26462380143452,1.06441615864171,5.26462380143452,4.33298119097611,100",9.74175586582911,5.26462380143452,100,7.27060942616332,4.33298119097611,TRUE,singing_block1,11,1,NA,NA,47.958769370774,low,low,6,1.142857,2.428571,male,78,2,"-7.00134459072959,12.7918561201861",7.27060942616332,4.33298119097611,first3
24b1,307,1,custom_trial,146,77b1,low,0,60.1763225937245,57.442958487741,57.927930779157,52.3424812771848,3,0.484972291416028,-5.58544950197223,57.9625678811064,57.2130769202522,53.4357809347034,3,-0.749490960854182,-3.7772959855488,-2.2137547126181,-2.96324567347229,-6.74054165902109,TRUE,"3,3,0.519609393365378,-0.714853858904831,1.09329965751859,0.299351730659713,1.09329965751859,0.811647317167364,-1.23446325227021,1.80815351642342,0.286845132076607,1.80815351642342,1.54811476644336,50",1.09329965751859,1.80815351642342,50,0.811647317167364,1.54811476644336,TRUE,singing_block1,11,1,NA,NA,48.3803239346514,low,low,9,5,3.714286,male,44,0,"-0.749490960854182,-3.7772959855488",0.811647317167364,1.54811476644336,first3
8b1,130,1,custom_trial,204,106b1,low,0,60.5732783112282,57.757206428902,63.8369224534216,58.0433284353655,3,6.07971602451953,-5.79359401805602,58.7816994870035,64.1436595610045,59.3084017253217,3,5.36196007400098,-4.83525783568277,-1.79157882422475,3.57038124977623,-1.26487658590654,TRUE,"3,3,1.02449305810145,0.306737107582897,1.26507328995615,0.865434485213498,1.26507328995615,0.956396728738804,-0.717755950518551,0.958336182373252,0.12029011592735,0.958336182373252,0.846635058023977,100",1.26507328995615,0.958336182373252,100,0.956396728738804,0.846635058023977,TRUE,singing_block1,10,0,NA,NA,49.3451573878098,low,low,10,5,2.142857,male,69,0,"5.36196007400098,-4.83525783568277",0.956396728738804,0.846635058023977,first3
8b1,122,1,custom_trial,62,35b1,low,0,59.6375637433596,49.9489936667938,62.2576737407662,49.7204768671134,3,12.3086800739724,-12.5371968736528,54.7516643228747,62.6396753481322,55.0585472497819,3,7.88801102525741,-7.58112809835024,-4.88589942048482,3.00211160477259,-4.57901649357765,TRUE,"3,3,4.80267065608096,0.382001607365964,5.33807038266848,3.50758088203847,5.33807038266848,4.15156862198429,-4.42066904871499,4.95606877530251,0.26769986329376,4.95606877530251,4.69600535262659,100",5.33807038266848,4.95606877530251,100,4.15156862198429,4.69600535262659,TRUE,singing_block1,10,0,NA,NA,49.3451573878098,low,low,10,5,2.142857,male,69,0,"7.88801102525741,-7.58112809835024",4.15156862198429,4.69600535262659,first3
9b1,121,1,custom_trial,148,78b1,high,0,58.9763814448656,62.0203474128075,52.3722919015389,67.218567150122,3,-9.6480555112686,14.8462752485831,62.5392186274462,55.6291164389536,68.7936500186022,3,-6.91010218849255,13.1645335796486,3.56283718258053,-3.34726500591202,9.81726857373656,TRUE,"3,3,0.518871214638651,3.2568245374147,1.57508286848018,1.78359287351118,3.2568245374147,2.11005682762865,2.73795332277605,-1.68174166893452,0.528105826920765,2.73795332277605,2.2720743208279,100",3.2568245374147,2.73795332277605,100,2.11005682762865,2.2720743208279,TRUE,singing_block1,10,0,NA,NA,58.9451022315975,high,high,8,3,3.571429,female,59,8,"-6.91010218849255,13.1645335796486",2.11005682762865,2.2720743208279,first3
9b1,123,1,custom_trial,210,109b1,high,0,58.749233271144,66.885192866426,54.8567622514886,62.0762766322462,3,-12.0284306149374,7.2195143807576,66.0987876985517,57.4626855722184,61.8022371571726,3,-8.63610212633327,4.33955158495419,7.34955442740771,-1.28654769892556,3.05300388602863,TRUE,"3,3,-0.786405167874335,2.60592332072979,-0.274039475073614,0.515159559260615,2.60592332072979,1.57949011556277,3.39232848860413,-2.87996279580341,0.25618284640036,3.39232848860413,3.14659167034801,100",2.60592332072979,3.39232848860413,100,1.57949011556277,3.14659167034801,TRUE,singing_block1,10,0,NA,NA,58.9451022315975,high,high,8,3,3.571429,female,59,8,"-8.63610212633327,4.33955158495419",1.57949011556277,3.14659167034801,first3
9b1,125,1,custom_trial,230,119b1,high,0,63.467122671687,60.8974916023981,56.8932830708909,56.8037721613767,3,-4.00420853150724,-0.0895109095141535,61.229054167718,55.3766511674519,55.8067494892814,3,-5.85240300026611,0.430098321829483,-2.23806850396895,-8.09047150423506,-7.66037318240558,TRUE,"3,3,0.331562565319878,-1.516631903439,-0.997022672095362,-0.727364003404828,1.516631903439,1.06523241187431,-1.84819446875888,0.519609231343637,-0.66429261870762,1.84819446875888,1.35753757731571,100",1.516631903439,1.84819446875888,100,1.06523241187431,1.35753757731571,TRUE,singing_block1,10,0,NA,NA,58.9451022315975,high,high,8,3,3.571429,female,59,8,"-5.85240300026611,0.430098321829483",1.06523241187431,1.35753757731571,first3
